Name,Date,Year,Band,Venue,City,Link
"Dec 22nd – The Cambridge Hotel, Newcastle w/Seabellies & 1929Indian","December 22, 2012",2012,I Am The Agent,Cambridge Hotel,Newcastle,
"Sep 2nd – Black Wire Records, Sydney w/Sleepmakeswaves, 10K Free Men and their Families","September 2, 2012",2012,I Am The Agent,Black Wire Records,Sydney,
"Sep 8th – The Cambridge Hotel, Newcastle w/Sleepmakeswaves, Breaking Orbit + Teal","September 8, 2012",2012,I Am The Agent,Cambridge Hotel,Newcastle,
"Nov 25th – Your Festival Weekender, Newcastle w/Stonefield, The Delta Riggs, The Nickson Wing and Maids","November 25, 2012",2012,I Am The Agent,Cambridge Hotel,Newcastle,
HELLS @ Chinos w/Andrew Richmond,"February 8, 2012",2011,HELLS,The Sidebar,Newcastle,
HELLS @ CAMBRIDGE,"December 16, 2011",2011,HELLS,Cambridge Hotel,Newcastle,
HELLS (debut) @ Animal House Festival,"August 10, 2011",2011,HELLS,The Lass O'Gowrie Hotel,Newcastle,https://www.facebook.com/pg/AnimalHouseFestival
HELLS @ Brinkworth (House Show),"October 3, 2011",2011,HELLS,Brinkworth,Newcastle,
HELLS @ LASS,"October 1, 2011",2011,HELLS,The Lass O'Gowrie Hotel,Newcastle,
HELLS @ NORTHO,"December 22, 2011",2011,HELLS,Great Northern Hotel,Newcastle,
HELLS @ THE LASS,"December 30, 2011",2011,HELLS,The Lass O'Gowrie Hotel,Newcastle,
"Jan 15th – New Beginnings Festival, Lake Macquarie w/The Owls, Post Paint, Seabellies, Hopes","January 15, 2011",2011,I Am The Agent,Festival Grounds,Central Coast,
"Jan 14th – MUM @ World Bar, w/Unity Floors","January 14, 2011",2011,I Am The Agent,World Bar,Sydney,
"Jan 5th – Valve Bar, Tempe w/ Bats & Battleships, Teal & Let Me Down Jungleman, Gently!","January 5, 2011",2011,I Am The Agent,Valve  Bar,Sydney,
"Feb 23rd – Great Northern Hotel, w/Bats & Battleships, The Art + The Protectors","February 23, 2011",2011,I Am The Agent,Great Northern Hotel,Newcastle,
March 30th – the Cambridge Hotel w/Bats & Battleships & Young Revelry,"March 30, 2011",2011,I Am The Agent,Cambridge Hotel,Newcastle,
"Feb 2nd – The Cambridge Hotel , w/Inhale The Sea + Tired Minds","February 2, 2011",2011,I Am The Agent,Cambridge Hotel,Newcastle,
